tipo,id,size_kb,truncado,falta_seccion,llm_bloqueado,sin_citas,todos_cero,cells_dash_pct
mpio,15808,1.6,1,0,0,0,0,0
mpio,15810,1.6,1,0,0,0,1,0
mpio,15814,1.6,1,0,0,0,1,0
mpio,15816,1.6,1,0,0,0,0,0
mpio,15820,1.6,1,0,0,0,1,0
mpio,15822,1.6,1,0,0,0,1,0
mpio,15832,1.6,1,0,0,0,0,0
mpio,15835,1.6,1,0,0,0,0,0
mpio,15837,1.6,1,0,0,0,0,0
mpio,15839,1.6,1,0,0,0,1,0
mpio,15842,1.6,1,0,0,0,0,0
mpio,15861,1.6,1,0,0,0,1,0
mpio,15879,1.6,1,0,0,0,1,0
mpio,15897,1.6,1,0,0,0,0,0
mpio,17001,1.6,1,0,0,0,0,0
mpio,17013,1.6,1,0,0,0,0,0
mpio,17042,1.6,1,0,0,0,0,0
mpio,17050,1.6,1,0,0,0,0,0
mpio,17088,1.6,1,0,0,0,0,0
mpio,17174,1.6,1,0,0,0,0,0
mpio,17272,1.6,1,0,0,0,0,0
mpio,17380,1.6,1,0,0,0,0,0
mpio,17388,1.6,1,0,0,0,0,0
mpio,17433,1.6,1,0,0,0,0,0
mpio,17442,1.6,1,0,0,0,0,0
mpio,17444,1.6,1,0,0,0,0,0
mpio,17446,1.6,1,0,0,0,1,0
mpio,17486,1.6,1,0,0,0,0,0
mpio,17495,1.6,1,0,0,0,0,0
mpio,17513,1.6,1,0,0,0,0,0
mpio,17524,1.6,1,0,0,0,0,0
mpio,17541,1.6,1,0,0,0,0,0
mpio,17614,1.9,1,0,0,0,0,0
mpio,17616,1.8,1,0,0,0,0,0
mpio,17653,1.6,1,0,0,0,0,0
mpio,17662,1.6,1,0,0,0,0,0
mpio,17665,1.6,1,0,0,0,0,0
mpio,17777,1.6,1,0,0,0,0,0
mpio,17867,1.6,1,0,0,0,0,0
mpio,17873,1.6,1,0,0,0,0,0
mpio,17877,1.7,1,0,0,0,0,0
mpio,18029,1.7,1,0,0,0,0,0
mpio,18150,1.8,1,0,0,0,0,0
mpio,18205,1.6,1,0,0,0,0,0
mpio,18247,1.6,1,0,0,0,0,0
mpio,18256,1.6,1,0,0,0,0,0
mpio,18410,1.8,1,0,0,0,0,0
mpio,18479,1.6,1,0,0,0,0,0
mpio,18785,1.8,1,0,0,0,0,0
mpio,18860,1.6,1,0,0,0,0,0
mpio,19022,1.6,1,0,0,0,0,0
mpio,19050,1.6,1,0,0,0,0,0
mpio,19075,1.6,1,0,0,0,0,0
mpio,19100,1.8,1,0,0,0,0,0
mpio,19130,1.7,1,0,0,0,0,0
mpio,19137,1.9,1,0,0,0,0,0
mpio,19212,1.6,1,0,0,0,0,0
mpio,19256,1.8,1,0,0,0,0,0
mpio,19290,1.6,1,0,0,0,0,0
mpio,19300,1.6,1,0,0,0,0,0
mpio,19318,1.8,1,0,0,0,0,0
mpio,19364,1.7,1,0,0,0,0,0
mpio,19397,1.8,1,0,0,0,0,0
mpio,19450,1.6,1,0,0,0,0,0
mpio,19455,1.8,1,0,0,0,0,0
mpio,19513,1.6,1,0,0,0,0,0
mpio,19517,1.9,1,0,0,0,0,0
mpio,19532,1.6,1,0,0,0,0,0
mpio,19573,1.6,1,0,0,0,0,0
mpio,19622,1.8,1,0,0,0,0,0
mpio,19693,1.8,1,0,0,0,0,0
mpio,19760,1.7,1,0,0,0,0,0
mpio,19780,1.7,1,0,0,0,0,0
mpio,19785,1.6,1,0,0,0,1,0
mpio,19807,1.7,1,0,0,0,0,0
mpio,19821,1.6,1,0,0,0,0,0
mpio,19845,1.6,1,0,0,0,0,0
mpio,20001,1.9,1,0,0,0,0,0
mpio,20011,1.6,1,0,0,0,0,0
mpio,20013,1.9,1,0,0,0,0,0
mpio,20032,1.6,1,0,0,0,0,0
mpio,20045,1.9,1,0,0,0,0,0
mpio,20060,1.6,1,0,0,0,0,0
mpio,20175,1.6,1,0,0,0,0,0
mpio,20178,1.6,1,0,0,0,0,0
mpio,20228,1.6,1,0,0,0,0,0
mpio,20238,1.8,1,0,0,0,0,0
mpio,20250,1.6,1,0,0,0,0,0
mpio,20295,1.6,1,0,0,0,0,0
mpio,20310,1.6,1,0,0,0,0,0
mpio,20383,1.6,1,0,0,0,0,0
mpio,20400,1.6,1,0,0,0,0,0
mpio,20443,1.6,1,0,0,0,0,0
mpio,20517,1.6,1,0,0,0,0,0
mpio,20550,1.6,1,0,0,0,0,0
mpio,20570,1.6,1,0,0,0,0,0
mpio,20614,1.6,1,0,0,0,0,0
mpio,20710,1.6,1,0,0,0,0,0
mpio,20750,1.6,1,0,0,0,0,0
mpio,20770,1.6,1,0,0,0,0,0
mpio,20787,1.6,1,0,0,0,0,0
mpio,23001,1.6,1,0,0,0,0,0
mpio,23068,1.6,1,0,0,0,0,0
mpio,23079,1.6,1,0,0,0,0,0
mpio,23090,1.6,1,0,0,0,0,0
mpio,23162,1.6,1,0,0,0,0,0
mpio,23168,1.6,1,0,0,0,0,0
mpio,23182,1.6,1,0,0,0,0,0
mpio,23189,1.6,1,0,0,0,0,0
mpio,23300,1.6,1,0,0,0,0,0
mpio,23350,1.6,1,0,0,0,0,0
mpio,23417,1.6,1,0,0,0,0,0
mpio,23419,1.6,1,0,0,0,0,0
mpio,23464,1.6,1,0,0,0,0,0
mpio,23466,1.8,1,0,0,0,0,0
mpio,23500,1.6,1,0,0,0,0,0
mpio,23555,1.6,1,0,0,0,0,0
